idx,brute,bin,freq
1,1,12,23
2,2,11,22
3,3,13,21
4,4,10,24
5,5,13,23
6,6,12,20
7,7,14,24
8,8,9,23
9,9,13,22
10,10,12,24
11,11,14,19
12,12,11,24
13,13,14,23
14,14,13,22
15,15,15,25
16,16,8,24
17,17,13,21
18,18,12,25
19,19,14,24
20,20,11,23
21,21,14,25
22,22,13,18
23,23,15,24
24,24,10,23
25,25,14,22
26,26,13,25
27,27,15,24
28,28,12,21
29,29,15,25
30,30,14,24
31,31,16,23
32,32,7,25
33,33,13,20
34,34,12,25
35,35,14,24
36,36,11,23
37,37,14,26
38,38,13,25
39,39,15,22
40,40,10,26
41,41,14,25
42,42,13,24
43,43,15,26
44,44,12,11
45,45,15,10
46,46,14,12
47,47,16,9
48,48,9,12
49,49,14,11
50,50,13,8
51,51,15,12
52,52,12,11
53,53,15,10
54,54,14,13
55,55,16,12
56,56,11,7
57,57,15,12
58,58,14,11
59,59,16,13
60,60,13,10
61,61,16,13
62,62,15,12
63,63,6,9
64,64,13,13
65,65,12,12
66,66,14,11
67,67,11,14
68,68,14,13
69,69,13,6
70,70,15,12
71,71,10,11
72,72,14,13
73,73,13,10
74,74,15,13
75,75,12,12
76,76,15,9
77,77,14,13
78,78,16,12
79,79,9,11
80,80,14,14
81,81,13,13
82,82,15,8
83,83,12,13
84,84,15,12
85,85,14,11
86,86,16,14
87,87,11,13
88,88,15,10
89,89,14,14
90,90,16,13
91,91,13,12
92,92,16,15
93,93,15,14
94,94,17,5
95,95,8,12
96,96,14,11
97,97,13,13
98,98,15,10
99,99,12,13
100,100,15,12
101,101,14,9
102,102,16,13
103,103,11,12
104,104,15,11
105,105,14,14
106,106,16,13
107,107,13,8
108,108,16,13
109,109,15,12
110,110,17,11
111,111,10,14
112,112,15,13
113,113,14,10
114,114,16,14
115,115,13,13
116,116,16,12
117,117,15,15
118,118,17,14
119,119,12,7
120,120,16,13
121,121,15,12
122,122,17,14
123,123,14,11
124,124,17,14
125,125,16,13
126,126,5,10
127,127,13,14
128,128,12,13
129,129,14,12
130,130,11,15
131,131,14,14
132,132,13,9
133,133,15,14
134,134,10,13
135,135,14,12
136,136,13,15
137,137,15,14
138,138,12,11
139,139,15,15
140,140,14,14
141,141,16,13
142,142,9,16
143,143,14,15
144,144,13,4
145,145,15,12
146,146,12,11
147,147,15,13
148,148,14,10
149,149,16,13
150,150,11,12
151,151,15,9
152,152,14,13
153,153,16,12
154,154,13,11
155,155,16,14
156,156,15,13
157,157,17,8
158,158,8,13
159,159,14,12
160,160,13,11
161,161,15,14
162,162,12,13
163,163,15,10
164,164,14,14
165,165,16,13
166,166,11,12
167,167,15,15
168,168,14,14
169,169,16,7
170,170,13,13
171,171,16,12
172,172,15,14
173,173,17,11
174,174,10,14
175,175,15,13
176,176,14,10
177,177,16,14
178,178,13,13
179,179,16,12
180,180,15,15
181,181,17,14
182,182,12,9
183,183,16,14
184,184,15,13
185,185,17,12
186,186,14,15
187,187,17,14
188,188,16,11
189,189,7,15
190,190,14,14
191,191,13,13
192,192,15,16
193,193,12,15
194,194,15,6
195,195,14,13
196,196,16,12
197,197,11,14
198,198,15,11
199,199,14,14
200,200,16,13
201,201,13,10
202,202,16,14
203,203,15,13
204,204,17,12
205,205,10,15
206,206,15,14
207,207,14,9
208,208,16,14
209,209,13,13
210,210,16,12
211,211,15,15
212,212,17,14
213,213,12,11
214,214,16,15
215,215,15,14
216,216,17,13
217,217,14,16
218,218,17,15
219,219,16,8
220,220,9,14
221,221,15,13
222,222,14,15
223,223,16,12
224,224,13,15
225,225,16,14
226,226,15,11
227,227,17,15
228,228,12,14
229,229,16,13
230,230,15,16
231,231,17,15
232,232,14,10
233,233,17,15
234,234,16,14
235,235,18,13
236,236,11,16
237,237,16,15
238,238,15,12
239,239,17,16
240,240,14,15
241,241,17,14
242,242,16,17
243,243,18,16
244,244,13,17
245,245,17,16
246,246,16,18
247,247,18,15
248,248,15,18
249,249,18,17
250,250,17,14
251,251,4,18
252,252,13,17
253,253,12,16
254,254,14,19
255,255,11,18
256,256,14,13
257,257,13,18
258,258,15,17
259,259,10,19
260,260,14,16
261,261,13,19
262,262,15,18
263,263,12,15
264,264,15,19
265,265,14,18
266,266,16,17
267,267,9,20
268,268,14,19
269,269,13,12
270,270,15,18
271,271,12,17
272,272,15,19
273,273,14,16
274,274,16,19
275,275,11,18
276,276,15,15
277,277,14,19
278,278,16,18
279,279,13,17
280,280,16,20
281,281,15,19
282,282,17,14
283,283,8,19
284,284,14,18
285,285,13,17
286,286,15,20
287,287,12,19
288,288,15,16
289,289,14,20
290,290,16,19
291,291,11,18
292,292,15,21
293,293,14,20
294,294,16,11
295,295,13,18
296,296,16,17
297,297,15,19
298,298,17,16
299,299,10,19
300,300,15,18
301,301,14,15
302,302,16,19
303,303,13,18
304,304,16,17
305,305,15,20
306,306,17,19
307,307,12,14
308,308,16,19
309,309,15,18
310,310,17,20
311,311,14,17
312,312,17,20
313,313,16,19
314,314,7,16
315,315,14,20
316,316,13,19
317,317,15,18
318,318,12,21
319,319,15,20
320,320,14,13
321,321,16,19
322,322,11,18
323,323,15,20
324,324,14,17
325,325,16,20
326,326,13,19
327,327,16,16
328,328,15,20
329,329,17,19
330,330,10,18
331,331,15,21
332,332,14,20
333,333,16,15
334,334,13,20
335,335,16,19
336,336,15,18
337,337,17,21
338,338,12,20
339,339,16,17
340,340,15,21
341,341,17,20
342,342,14,19
343,343,17,22
344,344,16,21
345,345,9,18
346,346,15,17
347,347,14,16
348,348,16,19
349,349,13,18
350,350,16,15
351,351,15,19
352,352,17,18
353,353,12,17
354,354,16,19
355,355,15,14
356,356,17,19
357,357,14,18
358,358,17,17
359,359,16,20
360,360,18,19
361,361,11,16
362,362,16,20
363,363,15,19
364,364,17,18
365,365,14,20
366,366,17,13
367,367,16,19
368,368,18,18
369,369,13,17
370,370,17,20
371,371,16,19
372,372,18,16
373,373,15,20
374,374,18,19
375,375,17,18
376,376,6,20
377,377,14,15
378,378,13,20
379,379,15,19
380,380,12,18
381,381,15,20
382,382,14,17
383,383,16,21
384,384,11,20
385,385,15,19
386,386,14,21
387,387,16,12
388,388,13,19
389,389,16,18
390,390,15,17
391,391,17,20
392,392,10,19
393,393,15,16
394,394,14,20
395,395,16,19
396,396,13,18
397,397,16,20
398,398,15,15
399,399,17,20
400,400,12,19
401,401,16,18
402,402,15,21
403,403,17,20
404,404,14,17
405,405,17,21
406,406,16,20
407,407,18,19
408,408,9,21
409,409,15,14
410,410,14,20
411,411,16,19
412,412,13,18
413,413,16,21
414,414,15,20
415,415,17,17
416,416,12,21
417,417,16,20
418,418,15,19
419,419,17,21
420,420,14,16
421,421,17,21
422,422,16,20
423,423,18,19
424,424,11,21
425,425,16,18
426,426,15,22
427,427,17,21
428,428,14,20
429,429,17,22
430,430,16,24
431,431,18,23
432,432,13,22
433,433,17,24
434,434,16,21
435,435,18,24
436,436,15,23
437,437,18,25
438,438,17,20
439,439,8,24
440,440,15,23
441,441,14,25
442,442,16,22
443,443,13,25
444,444,16,24
445,445,15,26
446,446,17,19
447,447,12,25
448,448,16,24
449,449,15,23
450,450,17,25
451,451,14,22
452,452,17,25
453,453,16,24
454,454,18,26
455,455,11,21
456,456,16,25
457,457,15,24
458,458,17,26
459,459,14,23
460,460,17,26
461,461,16,25
462,462,18,27
463,463,13,21
464,464,17,20
465,465,16,19
466,466,18,21
467,467,15,18
468,468,18,21
469,469,17,20
470,470,10,22
471,471,16,17
472,472,15,21
473,473,17,20
474,474,14,22
475,475,17,19
476,476,16,22
477,477,18,21
478,478,13,23
479,479,17,16
480,480,16,22
481,481,18,21
482,482,15,20
483,483,18,22
484,484,17,19
485,485,19,22
486,486,12,21
487,487,17,23
488,488,16,18
489,489,18,22
490,490,15,21
491,491,18,23
492,492,17,20
493,493,19,23
494,494,14,22
495,495,18,24
496,496,17,15
497,497,19,22
498,498,16,21
499,499,19,20
500,500,18,22
501,501,3,19
502,502,13,22
503,503,12,21
504,504,14,23
505,505,11,18
506,506,14,22
507,507,13,21
508,508,15,23
509,509,10,20
510,510,14,23
511,511,13,22
512,512,15,24
513,513,12,17
514,514,15,22
515,515,14,21
516,516,16,23
517,517,9,20
518,518,14,23
519,519,13,22
520,520,15,24
521,521,12,19
522,522,15,23
523,523,14,22
524,524,16,24
525,525,11,21
526,526,15,24
527,527,14,23
528,528,16,25
529,529,13,19
530,530,16,18
531,531,15,17
532,532,17,20
533,533,8,19
534,534,14,16
535,535,13,20
536,536,15,19
537,537,12,18
538,538,15,20
539,539,14,15
540,540,16,20
541,541,11,19
542,542,15,18
543,543,14,20
544,544,16,17
545,545,13,21
546,546,16,20
547,547,15,19
548,548,17,21
549,549,10,14
550,550,15,20
551,551,14,19
552,552,16,18
553,553,13,20
554,554,16,17
555,555,15,21
556,556,17,20
557,557,12,19
558,558,16,21
559,559,15,16
560,560,17,21
561,561,14,20
562,562,17,19
563,563,16,21
564,564,7,18
565,565,14,22
566,566,13,21
567,567,15,20
568,568,12,22
569,569,15,13
570,570,14,20
571,571,16,19
572,572,11,18
573,573,15,21
574,574,14,20
575,575,16,17
576,576,13,21
577,577,16,20
578,578,15,19
579,579,17,21
580,580,10,16
581,581,15,21
582,582,14,20
583,583,16,19
584,584,13,21
585,585,16,18
586,586,15,22
587,587,17,21
588,588,12,20
589,589,16,22
590,590,15,15
591,591,17,21
592,592,14,20
593,593,17,19
594,594,16,21
595,595,9,18
596,596,15,22
597,597,14,21
598,598,16,20
599,599,13,22
600,600,16,17
601,601,15,22
602,602,17,21
603,603,12,20
604,604,16,22
605,605,15,19
606,606,17,23
607,607,14,22
608,608,17,21
609,609,16,23
610,610,18,12
611,611,11,11
612,612,16,10
613,613,15,13
614,614,17,12
615,615,14,9
616,616,17,13
617,617,16,12
618,618,18,11
619,619,13,14
620,620,17,13
621,621,16,8
622,622,18,13
623,623,15,12
624,624,18,11
625,625,17,14
626,626,6,13
627,627,14,10
628,628,13,14
629,629,15,13
630,630,12,12
631,631,15,14
632,632,14,7
633,633,16,13
634,634,11,12
635,635,15,11
636,636,14,14
637,637,16,13
638,638,13,10
639,639,16,14
640,640,15,13
641,641,17,12
642,642,10,15
643,643,15,14
644,644,14,9
645,645,16,14
646,646,13,13
647,647,16,12
648,648,15,15
649,649,17,14
650,650,12,11
651,651,16,15
652,652,15,14
653,653,17,13
654,654,14,15
655,655,17,6
656,656,16,13
657,657,18,12
658,658,9,11
659,659,15,14
660,660,14,13
661,661,16,10
662,662,13,14
663,663,16,13
664,664,15,12
665,665,17,15
666,666,12,14
667,667,16,9
668,668,15,14
669,669,17,13
670,670,14,12
671,671,17,15
672,672,16,14
673,673,18,11
674,674,11,15
675,675,16,14
676,676,15,13
677,677,17,15
678,678,14,8
679,679,17,14
680,680,16,13
681,681,18,12
682,682,13,15
683,683,17,14
684,684,16,11
685,685,18,15
686,686,15,14
687,687,18,13
688,688,17,15
689,689,8,10
690,690,15,15
691,691,14,14
692,692,16,13
693,693,13,16
694,694,16,15
695,695,15,12
696,696,17,16
697,697,12,15
698,698,16,14
699,699,15,16
700,700,17,5
701,701,14,13
702,702,17,12
703,703,16,11
704,704,18,14
705,705,11,13
706,706,16,10
707,707,15,14
708,708,17,13
709,709,14,12
710,710,17,15
711,711,16,14
712,712,18,9
713,713,13,14
714,714,17,13
715,715,16,12
716,716,18,15
717,717,15,14
718,718,18,11
719,719,17,15
720,720,10,14
721,721,16,13
722,722,15,15
723,723,17,8
724,724,14,14
725,725,17,13
726,726,16,12
727,727,18,15
728,728,13,14
729,729,17,11
730,730,16,15
731,731,18,14
732,732,15,13
733,733,18,16
734,734,17,15
735,735,19,10
736,736,12,15
737,737,17,14
738,738,16,13
739,739,18,16
740,740,15,15
741,741,18,12
742,742,17,16
743,743,19,15
744,744,14,14
745,745,18,16
746,746,17,7
747,747,19,14
748,748,16,13
749,749,19,12
750,750,18,15
751,751,5,14
752,752,14,11
753,753,13,15
754,754,15,14
755,755,12,13
756,756,15,16
757,757,14,15
758,758,16,10
759,759,11,15
760,760,15,14
761,761,14,13
762,762,16,16
763,763,13,15
764,764,16,12
765,765,15,16
766,766,17,15
767,767,10,14
768,768,15,16
769,769,14,9
770,770,16,15
771,771,13,14
772,772,16,13
773,773,15,16
774,774,17,15
775,775,12,12
776,776,16,16
777,777,15,15
778,778,17,14
779,779,14,16
780,780,17,11
781,781,16,16
782,782,18,15
783,783,9,14
784,784,15,17
785,785,14,16
786,786,16,13
787,787,13,17
788,788,16,16
789,789,15,15
790,790,17,17
791,791,12,22
792,792,16,21
793,793,15,23
794,794,17,20
795,795,14,23
796,796,17,22
797,797,16,19
798,798,18,23
