idx,brute,bin,freq
Abbott1637,1,12,23
Abbott2807,2,11,22
Abbott2899,3,13,21
Abbott5374,4,10,24
Abbott5741,5,13,23
Abbott5982,6,12,20
Abbott7769,7,14,24
Abernathy2542,8,9,23
Abernathy3679,9,13,22
Abernathy4116,10,12,24
Abernathy5682,11,14,19
Abernathy9699,12,11,24
Abshire1051,13,14,23
Abshire5902,14,13,22
Adams3972,15,15,25
Adams4598,16,8,24
Adams5313,17,13,21
Adams5573,18,12,25
Adams8103,19,14,24
Adams8153,20,11,23
Altenwerth2535,21,14,25
Altenwerth4512,22,13,18
Altenwerth6993,23,15,24
Altenwerth7237,24,10,23
Altenwerth7460,25,14,22
Anderson1545,26,13,25
Anderson3362,27,15,24
Anderson4575,28,12,21
Anderson5848,29,15,25
Ankunding1222,30,14,24
Ankunding3838,31,16,23
Ankunding4948,32,7,25
Ankunding9202,33,13,20
Armstrong2903,34,12,25
Armstrong8372,35,14,24
Armstrong9740,36,11,23
Armstrong9946,37,14,26
Auer2439,38,13,25
Auer7568,39,15,22
Aufderhar2286,40,10,26
Aufderhar2651,41,14,25
Aufderhar4517,42,13,24
Aufderhar4843,43,15,26
Bahringer2322,44,12,11
Bahringer2773,45,15,10
Bahringer7316,46,14,12
Bahringer9341,47,16,9
Bailey1762,48,9,12
Bailey4866,49,14,11
Bailey7914,50,13,8
Bailey8421,51,15,12
Bailey9727,52,12,11
Balistreri1330,53,15,10
Balistreri4082,54,14,13
Balistreri4307,55,16,12
Balistreri6378,56,11,7
Balistreri9383,57,15,12
Barrows1255,58,14,11
Barrows1445,59,16,13
Barrows1895,60,13,10
Barrows8187,61,16,13
Barrows8821,62,15,12
Bartell1849,63,6,9
Bartell2858,64,13,13
Bartell4232,65,12,12
Bartell4286,66,14,11
Bartell4685,67,11,14
Bartoletti1655,68,14,13
Bartoletti3004,69,13,6
Bartoletti4050,70,15,12
Bartoletti6005,71,10,11
Bartoletti6320,72,14,13
Bartoletti9144,73,13,10
Barton1612,74,15,13
Barton5901,75,12,12
Barton5967,76,15,9
Barton6352,77,14,13
Bashirian2783,78,16,12
Bashirian3716,79,9,11
Bashirian8643,80,14,14
Batz1222,81,13,13
Batz3043,82,15,8
Batz5832,83,12,13
Batz7304,84,15,12
Batz7809,85,14,11
Bauch6477,86,16,14
Bauch6638,87,11,13
Baumbach2921,88,15,10
Baumbach5014,89,14,14
Baumbach7629,90,16,13
Baumbach8911,91,13,12
Baumbach9304,92,16,15
Bayer2859,93,15,14
Bayer4117,94,17,5
Bayer5160,95,8,12
Bayer7882,96,14,11
Beahan1328,97,13,13
Beahan1870,98,15,10
Beahan3159,99,12,13
Beatty2581,100,15,12
Beatty3597,101,14,9
Beatty7122,102,16,13
Bechtelar1250,103,11,12
Bechtelar4057,104,15,11
Bechtelar4913,105,14,14
Bechtelar7299,106,16,13
Bechtelar8097,107,13,8
Bechtelar9527,108,16,13
Becker1492,109,15,12
Becker1575,110,17,11
Becker3128,111,10,14
Becker5864,112,15,13
Becker7935,113,14,10
Bednar1826,114,16,14
Bednar1862,115,13,13
Bednar2063,116,16,12
Bednar2102,117,15,15
Bednar3975,118,17,14
Bednar4370,119,12,7
Bednar4423,120,16,13
Bednar7835,121,15,12
Bednar9158,122,17,14
Beer3192,123,14,11
Beer4031,124,17,14
Beer6602,125,16,13
Beer7731,126,5,10
Beier3354,127,13,14
Beier7003,128,12,13
Beier7574,129,14,12
Beier8022,130,11,15
Berge2598,131,14,14
Berge5222,132,13,9
Berge7772,133,15,14
Bergnaum2720,134,10,13
Bergnaum7126,135,14,12
Bergstrom1157,136,13,15
Bergstrom1283,137,15,14
Bergstrom6557,138,12,11
Bernhard1195,139,15,15
Bernhard1795,140,14,14
Bernhard2568,141,16,13
Bernhard2740,142,9,16
Bernhard5869,143,14,15
Bernhard6628,144,13,4
Bernhard8573,145,15,12
Bernier4314,146,12,11
Bernier4956,147,15,13
Bernier6545,148,14,10
Bins4260,149,16,13
Bins6290,150,11,12
Bins8681,151,15,9
Bins9393,152,14,13
Blanda2018,153,16,12
Blanda2184,154,13,11
Blanda3521,155,16,14
Blanda3630,156,15,13
Blanda4231,157,17,8
Blanda4673,158,8,13
Blick3400,159,14,12
Blick6391,160,13,11
Blick6630,161,15,14
Blick6944,162,12,13
Blick7903,163,15,10
Block7871,164,14,14
Block8632,165,16,13
Bode3235,166,11,12
Bode6090,167,15,15
Bode7698,168,14,14
Bode8915,169,16,7
Boehm3063,170,13,13
Boehm4174,171,16,12
Boehm5019,172,15,14
Boehm5401,173,17,11
Boehm5991,174,10,14
Boehm7258,175,15,13
Bogan1108,176,14,10
Bogan5094,177,16,14
Bogan6612,178,13,13
Bogisich2635,179,16,12
Bogisich6670,180,15,15
Bogisich8676,181,17,14
Borer1091,182,12,9
Borer1162,183,16,14
Borer3040,184,15,13
Borer7432,185,17,12
Borer8988,186,14,15
Borer9017,187,17,14
Bosco1464,188,16,11
Bosco3452,189,7,15
Bosco5611,190,14,14
Bosco8662,191,13,13
Bosco9456,192,15,16
Botsford1055,193,12,15
Botsford1396,194,15,6
Botsford1977,195,14,13
Botsford2449,196,16,12
Botsford3091,197,11,14
Botsford6462,198,15,11
Botsford8336,199,14,14
Botsford8411,200,16,13
Boyer2758,201,13,10
Boyer3751,202,16,14
Boyle5146,203,15,13
Boyle5586,204,17,12
Boyle5950,205,10,15
Boyle8046,206,15,14
Boyle8443,207,14,9
Bradtke7106,208,16,14
Bradtke7235,209,13,13
Bradtke7449,210,16,12
Bradtke7778,211,15,15
Bradtke9573,212,17,14
Brakus1839,213,12,11
Brakus2562,214,16,15
Brakus4376,215,15,14
Brakus4490,216,17,13
Brakus5607,217,14,16
Brakus6094,218,17,15
Brakus6636,219,16,8
Brakus6743,220,9,14
Brakus8288,221,15,13
Brakus8298,222,14,15
Brakus8567,223,16,12
Braun1431,224,13,15
Braun3296,225,16,14
Braun8495,226,15,11
Braun8547,227,17,15
Braun9240,228,12,14
Breitenberg3051,229,16,13
Breitenberg5599,230,15,16
Breitenberg6035,231,17,15
Breitenberg8338,232,14,10
Brekke1248,233,17,15
Brekke1410,234,16,14
Brekke5262,235,18,13
Brekke5895,236,11,16
Brekke8505,237,16,15
Brown2919,238,15,12
Brown5537,239,17,16
Bruen6315,240,14,15
Bruen8501,241,17,14
Buckridge2318,242,16,17
Buckridge9982,243,18,16
Carroll4451,244,13,17
Carroll4536,245,17,16
Carroll6213,246,16,18
Carroll7502,247,18,15
Carter3777,248,15,18
Carter3947,249,18,17
Carter4722,250,17,14
Carter6527,251,4,18
Carter6981,252,13,17
Carter8951,253,12,16
Carter9679,254,14,19
Cartwright2439,255,11,18
Cartwright3456,256,14,13
Cartwright3534,257,13,18
Cartwright6794,258,15,17
Cartwright7628,259,10,19
Cartwright9718,260,14,16
Casper2617,261,13,19
